f[GHz],theta[deg],phi[deg],RCS[dB]
26,-80,18,-29.213
26,-78,18,-21.797
26,-76,18,-27.081
26,-74,18,-26.586
26,-72,18,-24.489
26,-70,18,-37.364
26,-68,18,-20.164
26,-66,18,-20.367
26,-64,18,-21.477
26,-62,18,-20.843
26,-60,18,-25.243
26,-58,18,-27.426
26,-56,18,-31.523
26,-54,18,-43.207
26,-52,18,-35.257
26,-50,18,-24.909
26,-48,18,-28.564
26,-46,18,-24.592
26,-44,18,-23.819
26,-42,18,-26.474
26,-40,18,-29.558
26,-38,18,-44.537
26,-36,18,-24.116
26,-34,18,-28.569
26,-32,18,-28.22
26,-30,18,-25.027
26,-28,18,-22.421
26,-26,18,-37.137
26,-24,18,-26.011
26,-22,18,-22.381
26,-20,18,-31.517
26,-18,18,-28.793
26,-16,18,-41.969
26,-14,18,-20.842
26,-12,18,-20.091
26,-10,18,-28.972
26,-8,18,-24.605
26,-6,18,-15.286
26,-4,18,-10.45
26,-2,18,-7.3549
26,0,18,-1.3539
26,2,18,3.6091
26,4,18,3.8091
26,6,18,-0.084915
26,8,18,-4.8879
26,10,18,-11.884
26,12,18,-17.589
26,14,18,-24.537
26,16,18,-16.103
26,18,18,-22.376
26,20,18,-23.006
26,22,18,-24.037
26,24,18,-24.093
26,26,18,-23.918
26,28,18,-34.837
26,30,18,-21.119
26,32,18,-26.009
26,34,18,-27.19
26,36,18,-20.654
26,38,18,-31.676
26,40,18,-25.645
26,42,18,-31.464
26,44,18,-19.492
26,46,18,-28.575
26,48,18,-23.752
26,50,18,-26.178
26,52,18,-21.255
26,54,18,-34.061
26,56,18,-23.76
26,58,18,-27.877
26,60,18,-32.435
26,62,18,-26.758
26,64,18,-32.426
26,66,18,-24.154
26,68,18,-27.145
26,70,18,-32.333
26,72,18,-21.293
26,74,18,-19.509
26,76,18,-17.341
26,78,18,-21.562
26,80,18,-22.047
26,82,18,-16.726
26,84,18,-28.827
26,86,18,-26.643
26,88,18,-24.219
26,90,18,-15.189
26,-90,20,-23.95
26,-88,20,-36.806
26,-86,20,-21.107
26,-84,20,-20.692
26,-82,20,-27.313
26,-80,20,-19.25
26,-78,20,-23.319
26,-76,20,-21.344
26,-74,20,-24.886
26,-72,20,-27.96
26,-70,20,-29.734
26,-68,20,-35.594
26,-66,20,-35.667
26,-64,20,-26.167
26,-62,20,-27.032
26,-60,20,-19.845
26,-58,20,-20.976
26,-56,20,-25.556
26,-54,20,-21.528
26,-52,20,-22.911
26,-50,20,-24.532
26,-48,20,-23.687
26,-46,20,-24.986
26,-44,20,-24.779
